name,SMILES
ZINC000020550129,CC(C)c1cc(C(=O)N[C@@H](C)[C@@H]2CCCO2)cs1
ZINC000071908371,CCOC(=O)[C@H](C)Nc1ccc2oc(C3CC3)nc2c1
ZINC000071908370,CCOC(=O)[C@@H](C)Nc1ccc2oc(C3CC3)nc2c1
ZINC000084671075,CC(C)=C[C@@H]1[C@@H](C(=O)Nc2c3c(nn2C)CCC3)C1(C)C
ZINC000084671074,CC(C)=C[C@H]1[C@H](C(=O)Nc2c3c(nn2C)CCC3)C1(C)C
ZINC000006699485,C[C@@H]1Cc2ccccc2N1C(=O)Nc3ccc4c(c3)OCO4
ZINC000006699486,C[C@H]1Cc2ccccc2N1C(=O)Nc3ccc4c(c3)OCO4
ZINC000040286799,COc1cccc(NC(=O)c2cc3occc3n2C)c1
ZINC000012359156,Nc1c(F)cc(Br)cc1C(F)(F)F
ZINC000007912868,Cn1cc(C(=O)Nc2ccc3c(c2)OCO3)c4ccccc41
ZINC000000383422,Cc1nnc(Cl)c2nn(-c3ccccc3)c(C)c12
ZINC000072143525,O=C(N1CC(c2ccncc2)C1)C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5
ZINC000008369658,Cc1ccc(NC(=O)Nc2ccc(C(N)=O)cc2)c(C)c1
ZINC000001076018,Cc1nn(-c2ccc([N+](=O)[O-])cc2)c(N)c1-c3ccccc3
ZINC000009040847,Cc1nc(CSCCC(=O)N2CCC(C)CC2)cs1
ZINC000009040844,Cc1nc(CSCCC(=O)N2CCCCCC2)cs1
ZINC000007706823,CC(=O)Nc1cccc(C(=O)OCc2cccc(F)c2)c1
ZINC000007782849,CCCCCNC(=O)CCc1c[nH]c2ccccc12
ZINC000004723691,Cc1cc(-c2ccc(Cl)cc2)n3ncc(C#N)c3n1
ZINC000006700318,COc1ccc(NC(=O)NCc2ccccc2OC)cc1
ZINC000007699419,C[C@H](NC(=O)CSc1ccccn1)c2cccs2
ZINC000006700315,CCc1ccc(C(=O)Nc2ccc3n[nH]cc3c2)s1
ZINC000000613311,O=C1C[C@@H](c2ccccc2F)c3cc4c(cc3N1)OCCO4
ZINC000021791345,Cc1cc(C(=O)N2CCC[C@H]2c3ccccc3F)on1
ZINC000071856485,Cc1nc2ccc(C(=O)N[C@@H]3CCC[C@H]3C)cc2nc1C
ZINC000071856484,Cc1nc2ccc(C(=O)N[C@H]3CCC[C@@H]3C)cc2nc1C
ZINC000008994351,O=C1N=C2c3ccccc3CC[C@H]2[C@@H](c4cccs4)N1
ZINC000071856483,Cc1nc2ccc(C(=O)N[C@@H]3CCC[C@@H]3C)cc2nc1C
ZINC000007751153,CC(=O)c1ccc(C(=O)N[C@@H](C)c2ccccc2)s1
ZINC000008499971,Cc1ccc(O[C@@H](C)C(=O)N2CCCCC2)cc1C
ZINC000091894832,CCCCn1ncnc1-c2cc(C(C)C)nn2CC
ZINC000007535593,Cc1ccc(C)c(C(=O)[C@@H](C)Sc2nnc(N)s2)c1
ZINC000007535595,Cc1ccc(C)c(C(=O)[C@H](C)Sc2nnc(N)s2)c1
ZINC000008499979,Cc1cc(C)cc(O[C@@H](C)C(=O)N2CCCCC2)c1
ZINC000006729159,O=C(Nc1cnccn1)Nc2cccc3ccccc23
ZINC000071883498,O=C(c1ccc(OCC2CC2)cc1)N(CC(F)F)C3CC3
ZINC000126709790,CS[C@@H]1CC[C@@H](NC(=O)c2c(F)ccc(F)c2F)C1
ZINC000007958497,CC(=O)c1c[nH]c(C(=O)Nc2ccc3nc(C)sc3c2)c1
ZINC000044875002,Cc1cc(C(=O)N[C@@H](C)c2cccnc2)sc1C
ZINC000071738679,CCCc1nc(C(=O)N2C[C@H]3CC=CC[C@H]3C2)cs1
ZINC000008317371,O=[N+]([O-])c1c(NC2CCCCCC2)nc3sccn13
ZINC000008229856,Cc1ccc(C)c(OCCC(=O)Nc2cccnc2)c1
ZINC000006697988,O=C(Nc1cccc(-c2csnn2)c1)c3ccco3
